('ARG', '200209251508')
('CNU', '200210021745')
('4M2', '20021122800')
('NEW', '200209121500')
('F70', '200210311751')
('8OI3', '200211271812')
('8OH8', '200303121000')
('MWL', '200303141250')
('MU41', '200303261545')
('N75', '200302281400')
('AZ81', '200303011445')
('4B6', '20030208945')
('2FD2', '200303161600')
('TEB', '200212301400')
('M97', '200303261816')
('UMM', '200302181340')
('EVY', '200303071045')
('VA55', '200303071045')
('OXC', '200302061430')
('MS69', '200303021855')
('CT89', '20030205830')
('4SD', '200301181210')
('40G', '200301181210')
('MA16', '200302151000')
('SCK', '200212061541')
('GWW', '200303261125')
('SFF', '200303241435')
('TEB', '200211241230')
('DPA', '20030123815')
('TOP', '200303152226')
('EWB', '200212291320')
('72NE', '20030227740')
('MU41', '200301081215')
('AR59', '200302161225')
('II68', '200301171047')
('LIT', '200303221500')
('MU41', '200302212015')
('SC19', '200302071300')
('BGR', '20030311845')
('MYF', '200302062300')
('BED', '200302241010')
('ISP', '200301311211')
('CO82', '200301311211')
('BYA', '200303091000')
('MA94', '200301301230')
('70NJ', '200211262330')
('8TN1', '200303162015')
('TS89', '200301211650')
('76G', '200303161400')
('BDE', '2003030145')
('MYF', '200302231425')
('MS69', '200301052012')
('CPS', '200302171653')
('LVS', '200302171653')
('TIW', '200301261000')
('CVN', '200212141130')
('MU41', '200212241920')
('2CN4', '200212032030')
('L71', '20021218930')
('OI96', '200301261316')
('MU41', '200301261316')
('E45', '200301261316')
('NH69', '200301261316')
('FPR', '200301261316')
('OI96', '20030210900')
('GA06', '200303091100')
('GLW', '20030308953')
('SN07', '20030325630')
('RXE', '200301062130')
('55J', '200212041449')
('OI96', '200212041449')
('IJD', '20030315759')
('HIO', '200303151415')
('VRB', '200301231650')
('BZN', '200302181000')
('UKI', '200301011555')
('DBQ', '200301011555')
('X54', '200301011555')
('2IA7', '200212021330')
('F43', '200212301330')
('3DW', '200303191650')
('HOT', '200212051945')
('RCM', '20030301115')
('DAW', '200303071455')
('76N', '200302272135')
('8TX7', '200302272135')
('AZO', '200303211710')
('NM00', '200306061551')
('OI96', '20030327113')
('RHV', '200305141630')
('X01', '200306081900')
('CO82', '200305091445')
('OI96', '20030608500')
('3FL8', '20030608500')
('3R4', '20030608500')
('9NY7', '20030608500')
('JZI', '20030605930')
('A14', '20030612800')
('AZ37', '200306121520')
('YIP', '200306131245')
('3TX4', '200306191100')
('GEG', '200305041452')
('19AZ', '200306131916')
('OOK', '20030609900')
('N10', '200305011500')
('OWD', '200305161700')
('0CD4', '200305241610')
('CAK', '200306111045')
('CT33', '200305301105')
('23IS', '200303291745')
('19IN', '200306132112')
('08MT', '200306181905')
('10NH', '200304011300')
('3TX6', '200304161610')
('F70', '20030424715')
('MU41', '200304011630')
('08ME', '20030427910')
('5V5', '20030404935')
('5XS5', '200304051115')
('72NE', '200304051115')
('PUB', '200304241430')
('90CO', '200304251100')
('1J0', '200304061630')
('2C6', '20030418815')
('MN26', '200304251712')
('ASJ', '200304251059')
('PS40', '200304071050')
('49KS', '200304071050')
('9MO6', '200304192100')
('0S7', '200304201130')
('VGT', '200304261210')
('F25', '200304081925')
('HFY', '200304081352')
('E55', '200304091515')
('S69', '200304101100')
('LNK', '200304101700')
('INT', '200304101700')
('TKO', '200306011100')
('MU41', '200304131830')
('MS69', '200305301700')
('CA51', '200306191232')
('6S3', '200305311615')
('OH52', '200305111511')
('VGT', '200305111511')
('K43', '200306131730')
('K49', '200306131730')
('OR43', '200306191720')
('TVI', '200304221530')
('I69', '200304271550')
('TOB', '20030417550')
('GA27', '200306202030')
('MY42', '20030528240')
('MS69', '200306022032')
('CKI', '20030418325')
('HNL', '200304161005')
('HYX', '200306121625')
('FUL', '200304222020')
('TEB', '200304222020')
('K43', '200305261500')
('K49', '200305311230')
('VIS', '200306011600')
('AR86', '200305271215')
('72CA', '200306072147')
('W48', '20030401935')
('OXC', '200304261215')
('AK73', '200303311358')
('CO82', '200306201546')
('A26', '200304171854')
('7M6', '200306111103')
('F92', '200304182025')
('78VA', '20030405820')
('1W3', '200304061247')
('MIV', '200304061516')
('CNO', '200306191120')
('FL99', '200305251448')
('0AK0', '200305121629')
('CDD', '200306191635')
('8TN7', '200304191830')
('FUL', '20030610938')
('NJ50', '200305191300')
('WN71', '200305191400')
('WN91', '200306171120')
('OWD', '200306211628')
('MD57', '200304251600')
('PR28', '200306081115')
('AZ37', '200305031200')
('DLS', '200306071530')
('BAZ', '200305211113')
('SUS', '200303281549')
('CD13', '20030519120')
('GE00', '200306091515')
('OL23', '200306081341')
('PS56', '200303272035')
('L35', '20030523900')
('CLM', '200303281600')
('LIH', '200306131516')
('IL84', '200305291520')
('HNL', '200305291520')
('23N', '200305291520')
('ENA', '200305291520')
('16AR', '200305261200')
('TN20', '200306101245')
('AZ25', '200306101245')
('46CN', '200306101245')
('MI41', '200306101245')
('MIC', '200306101245')
('0OK9', '20030619506')
('LIT', '200305161758')
('CDV', '200304221400')
('AZ64', '200306261430')
('O26', '200308141700')
('M50', '20030722900')
('VGT', '20030802700')
('CT89', '200309051830')
('S16', '200308251010')
('7LA2', '20030715735')
('CGA', '200309021500')
('CO21', '200307101310')
('86OK', '200309072045')
('O06', '200308302008')
('BOI', '200307071800')
('TOP', '200307281330')
('3FD1', '20030808800')
('VGT', '200307291725')
('14G', '200308231413')
('0FL4', '20030702850')
('IS79', '20030802750')
('4LA3', '200308101415')
('97OH', '200307181042')
('PN68', '200307221755')
('NY48', '200306271430')
('BHB', '200308061815')
('CGZ', '200307041015')
('CL21', '200307121400')
('OI96', '200307061650')
('27OI', '20030727800')
('X35', '20030709953')
('NV99', '20030709953')
('4PN7', '20030709953')
('98MI', '20030709953')
('56CO', '20030709953')
('00C', '20030709953')
('MRY', '20030709953')
('35NJ', '20030709953')
('PSB', '20030709953')
('MUO', '20030709953')
('ASE', '200308191')
('N22', '200306291700')
('N40', '200307101200')
('0U8', '200308191530')
('80NC', '200307211015')
('13VG', '20030904558')
('3U7', '200308281130')
('MTP', '200307131030')
('29C', '200307131015')
('GA65', '200306241230')
('HFD', '200308131117')
('85GA', '200308281900')
('8W3', '200309101041')
('FUL', '200308292110')
('OH34', '200308292110')
('PUB', '200308131830')
('MU41', '200307261400')
('24PA', '200307031930')
('44N', '200307121345')
('1XA1', '200307121345')
('VT25', '200308021447')
('SUX', '200308101630')
('ONT', '200307201652')
('7B9', '200307201652')
('LUG', '200307081147')
('CGF', '200308061400')
('APF', '20030731730')
('THV', '20030713819')
('01SC', '200306241312')
('PRB', '200306271120')
('SUS', '200306271120')
('HNL', '20030802650')
('GCC', '20030802815')
('ACK', '200308211140')
('VGT', '200309061514')
('PHX', '200309091145')
('FYV', '200309011600')
('LVN', '200308191530')
('BOI', '200308121912')
('SVA', '20030809905')
('ANC', '200308071900')
('AK95', '200307051015')
('SLC', '20030730945')
('1LA5', '200308051345')
('MDW', '200307301800')
('FA73', '200307301800')
('HLG', '200307301800')
('IN15', '200307011700')
('4M2', '200307291430')
('IL84', '200306241530')
('DAY', '200307151445')
('06TE', '200307291415')
('CHS', '200309091215')
('2IS', '200307071809')
('PEZ', '200307141800')
('MYF', '200306261200')
('NM39', '200306251002')
('68S', '200308151830')
('18FD', '200309062244')
('ID79', '20030703535')
('33LA', '20030711730')
('3L2', '200306261300')
('NV21', '200307121550')
('TN98', '200308191930')
('6TA1', '200308031332')
('UT53', '200307031700')
('DEC', '200306221200')
('68FD', '200308051645')
('WS28', '200308191400')
('64MI', '200306252245')
('5MS3', '200308231948')
('FD82', '20030806740')
('8MN8', '200306291500')
('OH92', '20030819740')
('LEE', '200312061030')
('50F', '200312171830')
('HSV', '20031125655')
('CO82', '20031021915')
('2WA3', '200309221100')
('22GA', '200311091530')
('K32', '200311091530')
('ME85', '200311091530')
('OH36', '200311091530')
('4WA8', '20031025329')
('EAA', '20031206440')
('MI57', '20031127753')
('TA51', '20031127753')
('CPT', '20031127753')
('32LA', '200310221315')
('2IA7', '200310091550')
('F43', '20031215600')
('3DW', '200310221502')
('UOX', '200309131545')
('IMM', '200310121905')
('MZH', '200311191830')
('CO82', '200312111052')
('9S5', '200312111052')
('II68', '200312111052')
('CL44', '200311251100')
('W00', '20030922130')
('9LA6', '200310181135')
('3MD9', '200312152255')
('U10', '200310161900')
('LIH', '200312071708')
('1L1', '200312041006')
('ASH', '20030913928')
('HNL', '200309151344')
('0AK0', '20031011754')
('CDD', '200312201550')
('MI29', '200310031130')
('CMH', '20031206500')
('GEG', '20031206500')
('8V1', '200311181410')
('CO82', '200312111225')
('APF', '200310021526')
('88M', '20031009938')
('05U', '200309201300')
('VG01', '200310011330')
('CDK', '200311091500')
('CNO', '20031101800')
('2W5', '200312161710')
('FWN', '200312202130')
('FPR', '200312201553')
('31OH', '200312201553')
('CO82', '200312201553')
('OXR', '200311291218')
('ISP', '20031115855')
('FES', '200311202054')
('T45', '200310141045')
('MD12', '200309231105')
('MIV', '200310181237')
('68FD', '20031021800')
('PCM', '200311151618')
('C89', '200310131000')
('DXR', '200310091645')
('27OI', '200310211141')
('0L7', '200310131700')
('AJR', '200311211022')
('GVQ', '200311221550')
('AZ37', '20031129806')
('MKY', '20031129250')
('20N', '20031209615')
('62D', '200311251329')
('8V2', '200311011525')
('BTM', '200311011115')
('3FL8', '200310311746')
('3R4', '200311101400')
('9NY7', '200310141017')
('8II4', '200310151343')
('2IA7', '200310091815')
('F43', '20031007920')
('3DW', '200310041350')
('GCN', '200309201237')
('CD13', '20031007935')
('GE00', '200311011155')
('OL23', '200312201059')
('PS56', '200312051315')
('9CA9', '200310281011')
('L41', '200312181600')
('MUL', '200312151708')
('ASG', '200309241831')
('AR48', '200310051630')
('II67', '200311212200')
('10OK', '20030913829')
('CT89', '200309211500')
('CT89', '20031209900')
('IMT', '200309281228')
('RXE', '200309131240')
('TGI', '20031113930')
('8NC8', '200312091905')
('MU41', '200310241854')
('7M4', '200310061250')
('I75', '200312051500')
('3MO', '20030919845')
('6N5', '200403282125')
('MU41', '200403282125')
('3N6', '200403282125')
('4AZ7', '200403282125')
('SQL', '20040406730')
('T40', '200402221645')
('AR98', '200401181600')
