('HEC', '198211111000')
('HTM', '198211111530')
('UNU', '198211111745')
('SJT', '198211131600')
('CPR', '198211141330')
('AGC', '198211182121')
('CCC', '198211241600')
('MFE', '198211271700')
('IDA', '198211292100')
('PIE', '198211290930')
('IAD', '198212011830')
('PUT', '198212021606')
('MAF', '198212031900')
('CZG', '198212061410')
('RBV', '198212071230')
('ATL', '198212081845')
('ANG', '198212121643')
('DLH', '198212121400')
('MLC', '198212151900')
('OGD', '198212151710')
('HTM', '198212160845')
('LCH', '198212160820')
('DUG', '198212231620')
('DBQ', '198212242300')
('BOI', '198301021720')
('SSI', '198209041530')
('CEC', '198209121100')
('TUS', '198210031115')
('CHE', '198210281300')
('JOT', '198209080930')
('PHX', '198210080918')
('MKC', '198211281447')
('ENN', '198212301815')
('TMU', '198210201330')
('BXK', '198211081645')
('MKG', '198211071600')
('LAN', '198209121730')
('BTY', '198210091245')
('DPA', '198209051240')
('PDX', '198212261550')
('KYK', '198209271500')
('GRV', '198209291928')
('BGQ', '198209121520')
('CRP', '198211022118')
('BIL', '198210081059')
('GRW', '198209113')
('DBQ', '198212272340')
('PER', '198210031500')
('DEW', '198211081955')
('DWH', '198209082100')
('FFU', '198212171430')
('BDL', '198211071635')
('FAY', '198212271530')
('CVG', '198211041030')
('OCR', '198210131000')
('HNL', '198212041715')
('MHW', '198210192000')
('IND', '198209171730')
('ICT', '198210030910')
('UBG', '198210231530')
('FSM', '198212060841')
('CHE', '198211281245')
('ATL', '198211031000')
('MGY', '198209181645')
('TXO', '198212221115')
('IND', '198210011550')
('AMG', '198209101131')
('SJT', '198212162323')
('MEM', '198212200730')
('DEN', '198301041100')
('AIA', '198212181325')
('SBN', '198209191045')
('RDU', '198209300715')
('IFJ', '198212261115')
('COY', '198210122000')
('GRR', '198210171840')
('SUG', '198211120514')
('PDZ', '198210091727')
('PVD', '198212161720')
('OCR', '198210131000')
('PPM', '198211011349')
('FMY', '198211272355')
('FIM', '198211090840')
('IHD', '198209261245')
('PXN', '1982103045')
('LFT', '198209171700')
('SIS', '198209062100')
('TUL', '198209091642')
('FWA', '198301052100')
('RNO', '198210171833')
('ACO', '198209150945')
('GLR', '198209072000')
('CUS', '198210101215')
('LBB', '198301050355')
('BIL', '198212231605')
('BFD', '198211261932')
('GCC', '198209101430')
('LFT', '198209200920')
('LAN', '198212191710')
('ATL', '198301021910')
('HCH', '198303201700')
('CRP', '198303110930')
('MAF', '198303111210')
('GRR', '198303111740')
('DEN', '198303281715')
('DEN', '198303281715')
('PIE', '198304241117')
('LBB', '198305012009')
('WVW', '198305081735')
('LAS', '198305102224')
('GNV', '198304092020')
('MUO', '198303131440')
('HFD', '198303201100')
('CPR', '198304300230')
('LUB', '198302021050')
('MIE', '198305021140')
('BOS', '198302051315')
('MIE', '198302131845')
('RWL', '198303300830')
('TUL', '1983022310')
('GEP', '198302231530')
('GRR', '198303202230')
('IRS', '198302061700')
('TNU', '198304112300')
('SLI', '198301081330')
('GWO', '198301081645')
('L71', '198304021015')
('FIM', '198303201630')
('SSF', '198303221430')
('SBA', '198302212037')
('GRR', '198303070945')
('MCI', '198302232200')
('DRU', '198302260820')
('OCN', '198302271553')
('SSI', '198303162330')
('TUC', '198303231640')
('CYO', '198302041000')
('BET', '198301160945')
('PHX', '198301161435')
('TUL', '198303151645')
('DEN', '198303221530')
